"","logFC","logCPM","F","PValue","FDR"
"ENSG00000136859",1.82540659600368,-1.90040410203632,30.0586707179927,6.28623637672283e-08,1.53638292041309e-05
"ENSG00000136231",1.4189740674383,3.08828072780551,30.5269956578493,6.39032434950413e-08,1.5453822274264e-05
"ENSG00000183117",-4.6294594112188,0.59718218973333,30.2033458129828,6.86350803002698e-08,1.64252326543583e-05
"ENSG00000160183",1.66130919561318,-1.25266399828068,29.724395007351,8.4220267539034e-08,1.99471796540388e-05
"ENSG00000187678",1.93382057252566,0.204672905333139,29.8643978798219,8.77037254901022e-08,2.05602590756082e-05
"ENSG00000142549",2.54780574491636,1.8372947000414,29.817828947658,8.98273838692598e-08,2.08453971415391e-05
"ENSG00000173110",1.900262977226,4.24827469464952,29.6785072728959,9.56887123521358e-08,2.19835247757797e-05
"ENSG00000231346",0.983122101173756,-0.410258519843501,29.5449291055045,1.00612398533742e-07,2.28858340981603e-05
"ENSG00000137960",1.98779588391902,-1.23232752680755,29.0468406217673,1.12777226340066e-07,2.54014117444773e-05
"ENSG00000109339",1.84350029247621,-1.0113579982476,28.7962333146161,1.35224951681356e-07,3.01617285429852e-05
"ENSG00000131711",1.84260545320011,-1.22033719068697,28.618003368692,1.37345418585857e-07,3.03401312172257e-05
"ENSG00000102755",1.75183974626914,0.186171804016299,28.7645630084964,1.47999703672309e-07,3.23823351635012e-05
"ENSG00000061492",2.1470486121149,-1.67287476878285,28.2696236652067,1.5651883915302e-07,3.37957738950714e-05
"ENSG00000077063",2.0804882135439,-1.83247477440712,28.1901514459813,1.57401750098922e-07,3.37957738950714e-05
"ENSG00000183844",2.00264297492089,-1.7083849841128,28.1757935899274,1.65719593843143e-07,3.52522402680775e-05
"ENSG00000146013",1.60587332181901,-1.91485334394686,27.7526830970521,1.89218875847962e-07,3.98817839791843e-05
"ENSG00000167693",2.00146328677637,0.702244138094582,28.1095554356137,2.03272064241346e-07,4.24542945807335e-05
"ENSG00000255446",-2.31412188451398,-1.60783338440366,27.6604511442289,2.17331811300478e-07,4.49818111064612e-05
"ENSG00000164647",1.94516590602446,-2.08052070267526,27.3961595960217,2.29404357127567e-07,4.70565687557922e-05
"ENSG00000236279",-2.98368353048784,-0.0538587808821171,27.3966471606445,2.6276720788648e-07,5.33542935408728e-05
"ENSG00000260396",1.62198540842434,-2.20059099995311,27.0764417030473,2.64750999549904e-07,5.33542935408728e-05
"ENSG00000232618",1.39391849965444,-0.721459512752047,27.3244321325264,2.84918495753244e-07,5.69192827950872e-05
"ENSG00000169031",1.49473862212019,-0.703648786323013,27.3089526947444,2.8749973218993e-07,5.69398176494091e-05
"ENSG00000101203",-2.27965871967476,-1.23418790632334,26.9034121986635,2.92204262018909e-07,5.7376929193354e-05
"ENSG00000273237",0.927407159078499,-0.0724502504624158,27.3130083531369,2.96445642607759e-07,5.77164592650056e-05
"ENSG00000087258",1.57485110921999,0.0264460094881103,27.1894239795113,3.13419958268117e-07,5.97291985090758e-05
"ENSG00000205403",2.27631213720244,1.07561150949819,27.2052391864372,3.13774031433771e-07,5.97291985090758e-05
"ENSG00000172379",2.24589023542834,-0.0378771626931152,27.075660477335,3.14583138312796e-07,5.97291985090758e-05
"ENSG00000105976",2.51736116525298,1.59804023213233,27.1159905747479,3.27106863815114e-07,6.15979761417085e-05
"ENSG00000069011",-4.1011085585926,0.964511765283233,26.9630191647794,3.41699559387512e-07,6.38228103851114e-05
"ENSG00000128342",2.18988374028631,3.30643237619572,26.929266151697,3.56083539544576e-07,6.59730906249765e-05
"ENSG00000177875",1.45048873599869,-2.46733488900814,26.3883157391012,3.60999155662486e-07,6.63487568175196e-05
"ENSG00000011590",1.4545202728966,-0.367434998498878,26.1645185682678,5.09100548013702e-07,9.28259999211649e-05
"ENSG00000101445",1.59827985106554,6.41964223179325,26.1014600624526,5.30928776724098e-07,9.55135926194895e-05
"ENSG00000125084",1.65137250885004,-1.97261156665322,25.7051060537427,5.32155473809291e-07,9.55135926194895e-05
"ENSG00000164485",1.97402088879894,-0.728964266545006,25.9435773052282,5.49155410066974e-07,9.78007472161137e-05
"ENSG00000173809",-3.21899882729779,-0.327769101986238,25.8567909434949,5.66955655539257e-07,0.000100194147925838
"ENSG00000235008",1.05862947190293,-0.999553918109905,25.8448887945399,5.74944827323445e-07,0.000100830400480373
"ENSG00000111863",1.43754292809547,0.584109342729049,25.784548199217,6.21592646031591e-07,0.00010818537462068
"ENSG00000126266",1.6606956038425,-1.81976891762612,25.1510335654612,7.20468602904775e-07,0.000124451471301762
"ENSG00000227038",-3.12478598331937,-1.45563649066873,25.199903079957,7.27974952947609e-07,0.000124809675888197
"ENSG00000234290",1.61093308313445,3.76046571506483,25.4218974738101,7.36968232051149e-07,0.000125415616023282
"ENSG00000204099",2.17794066042172,4.47257900492749,25.3517744222948,7.62498644053174e-07,0.000127778794280798
